date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:56	46137/46137	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2000:23:16%20GMT	https://demo.webtend.net/html/lezar/index.html	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/index.html	(from )
09:33:57	111/111	---M-Z	200	added ('OK')	text/plain	etag:%2225979-1683037111;gz%22	https://demo.webtend.net/robots.txt		(from )
09:33:57	998/998	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jan%202022%2023:50:10%20GMT	https://demo.webtend.net/html/lezar/assets/images/favicon.png	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/favicon.png	(from https://demo.webtend.net/html/lezar/index.html)
09:33:58	2104/2104	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:41:20%20GMT	https://demo.webtend.net/html/lezar/assets/css/flaticon.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/flaticon.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:33:59	55913/55913	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Dec%202021%2013:37:34%20GMT	https://demo.webtend.net/html/lezar/assets/css/font-awesome-5.9.0.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/font-awesome-5.9.0.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:34:00	160392/160392	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Dec%202021%2001:42:36%20GMT	https://demo.webtend.net/html/lezar/assets/css/bootstrap-4.5.3.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/bootstrap-4.5.3.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:34:00	5260/5260	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:38:04%20GMT	https://demo.webtend.net/html/lezar/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/magnific-popup.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:34:00	3076/3076	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:39:28%20GMT	https://demo.webtend.net/html/lezar/assets/css/nice-select.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/nice-select.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:34:01	59675/59675	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:33:34%20GMT	https://demo.webtend.net/html/lezar/assets/css/animate.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/animate.min.css	(from https://demo.webtend.net/html/lezar/index.html)
09:34:01	1346/1346	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Feb%202022%2015:40:18%20GMT	https://demo.webtend.net/html/lezar/assets/css/slick.min.css	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/css/slick.min.css	(from https://demo.webtend.net/html/lezar/index.html)
